Year,child
1950,3.052
1951,3.13
1952,3.272
1953,3.389
1954,3.4790000000000000
1955,3.5440000000000000
1956,3.582
1957,3.595
1958,3.583
1959,3.545
1960,3.483
1961,3.3990000000000000
1962,3.2940000000000000
1963,3.173
1964,3.0410000000000000
1965,2.9020000000000000
1966,2.762
1967,2.623
1968,2.49
1969,2.366
1970,2.253
1971,2.153
1972,2.063
1973,1.984
1974,1.915
1975,1.858
1976,1.814
1977,1.7830000000000000
1978,1.764
1979,1.757
1980,1.7590000000000000
1981,1.7690000000000000
1982,1.786
1983,1.806
1984,1.829
1985,1.8530000000000000
1986,1.8780000000000000
1987,1.9040000000000000
1988,1.932
1989,1.9580000000000000
1990,1.983
1991,2.002
1992,2.015
1993,2.021
1994,2.022
1995,2.019
1996,2.013
1997,2.009
1998,2.008
1999,2.01
2000,2.017
2001,2.0270000000000000
2002,2.039
2003,2.051
2004,2.061
2005,2.065
2006,2.063
2007,2.052
2008,2.033
2009,2.006
2010,1.973
2011,1.9370000000000000
2012,1.9
2013,1.8660000000000000
2014,1.8360000000000000
2015,1.8120000000000000
2016,1.794
2017,1.7820000000000000
2018,1.775
2019,1.7720000000000000
2020,1.7720000000000000